strategy,timeframe,tp,sl,leverage,trades,wins,win_rate,avg_win,avg_loss,risk_reward,ev,total_pnl
EMA7/25金叉,1h,200,3,25,571,207,36.25218914185639,5.418420147876413,2.740559193567844,66.66666666666667,1764.798598949212,3101.23560379306
趋势EMA交叉,1d,200,3,30,23,7,30.434782608695656,53.59722417849773,3.0000000000000044,66.66666666666667,1763.4782608695655,9815.417077484522
放量突破,1d,200,2,20,9,4,44.44444444444444,79.30920916989248,2.000000000000005,100.0,1755.5555555555557,6144.736733591398
突破买入,1h,200,3,25,674,242,35.90504451038576,5.563037141106371,2.71763584609914,66.66666666666667,1747.181008902077,4305.907565822825
放量突破,1d,200,3,20,9,4,44.44444444444444,79.30920916989248,3.0000000000000027,66.66666666666667,1744.4444444444446,6044.736733591398
看涨插针,1h,200,3,25,703,247,35.13513513513514,5.430006723035712,2.7945971910981684,66.66666666666667,1708.1081081081081,1671.8835362264117
趋势EMA交叉,1h,200,2,30,571,165,28.896672504378284,5.710988576525867,1.9346730233739458,100.0,1691.138353765324,4705.076029108388
EMA50/200黄金交叉,1h,200,3,20,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,66.66666666666667,1687.682119205298,2175.4856085573397
EMA50/200黄金交叉,4h,150,3,30,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,50.0,1686.774193548387,3049.4428770554873
放量突破,1h,150,3,30,505,192,38.01980198019802,5.250383622903806,2.79732437268442,50.0,1655.108910891089,3975.3338084192224
放量突破,1d,150,2,25,9,4,44.44444444444444,66.80920916989248,2.000000000000005,75.0,1638.8888888888887,6430.9209169892465
EMA7/25金叉,1h,200,2,30,686,192,27.988338192419825,5.886276420309713,1.9518614038072095,100.0,1636.0932944606416,4978.366176561095
放量突破,1d,150,3,25,9,4,44.44444444444444,66.80920916989248,3.0000000000000027,50.0,1624.9999999999998,6305.9209169892465
趋势EMA交叉,1h,150,3,30,480,179,37.291666666666664,5.200964068594269,2.7201874221658993,50.0,1621.6874999999998,3365.884626193147
EMA50/200黄金交叉,4h,200,5,15,31,17,54.83870967741935,13.09216689943906,5.000000000000004,40.0,1611.290322580645,2288.5025593569603
EMA50/200黄金交叉,1h,150,2,30,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,75.0,1606.153846153846,3627.4127805565176
放量突破,4h,200,3,30,116,32,27.586206896551722,15.712322801053569,2.974094970420479,66.66666666666667,1589.9999999999998,7589.11056355182
EMA7/25金叉,1h,150,3,30,571,207,36.25218914185639,5.418420147876413,2.740559193567844,50.0,1573.9754816112084,3721.4827245516717
EMA50/200黄金交叉,1h,150,3,25,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,50.0,1571.5231788079468,2719.3570106966745
突破买入,1h,150,3,30,674,242,35.90504451038576,5.563037141106371,2.71763584609914,50.0,1558.0415430267062,5167.08907898739
放量突破,1h,200,2,30,592,158,26.68918918918919,5.368617395859407,1.9588564794472447,100.0,1557.364864864865,-57.06490602953593
RSI超卖,1h,200,3,25,573,182,31.762652705061083,5.696117515225116,2.844551400511498,66.66666666666667,1536.9546247818498,-1888.1552457256153
突破买入,1h,200,2,30,831,218,26.233453670276774,6.116471737654331,1.9395129550441723,100.0,1529.7472924187723,4334.081920996995
看涨插针,1h,150,3,30,703,247,35.13513513513514,5.430006723035712,2.7945971910981684,50.0,1522.702702702703,2006.260243471694
看涨插针,1h,200,2,30,858,224,26.107226107226104,6.005519455162066,1.9593387807180902,100.0,1522.0979020979019,3090.467129431006
趋势EMA交叉,4h,200,3,30,148,39,26.351351351351347,15.155561364116926,3.0000000000000036,66.66666666666667,1514.797297297297,7922.006796016792
EMA50/200黄金交叉,4h,200,3,20,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,66.66666666666667,1511.6129032258066,2032.9619180369914
放量突破,1h,200,3,20,505,192,38.01980198019802,5.250383622903806,2.79732437268442,66.66666666666667,1483.6039603960396,2650.2225389461482
趋势EMA交叉,1d,200,3,25,23,7,30.434782608695656,53.59722417849773,3.0000000000000044,66.66666666666667,1469.5652173913045,8179.514231237101
趋势EMA交叉,1h,200,3,20,480,179,37.291666666666664,5.200964068594269,2.7201874221658993,66.66666666666667,1454.0416666666665,2243.923084128765
EMA50/200黄金交叉,1h,200,2,20,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,100.0,1436.153846153846,2418.2751870376787
EMA7/25金叉,1d,200,3,30,28,7,25.0,58.434117511538865,3.0000000000000036,66.66666666666667,1432.5,10381.164677423158
EMA7/25金叉,1h,200,3,20,571,207,36.25218914185639,5.418420147876413,2.740559193567844,66.66666666666667,1411.8388791593693,2480.9884830344477
趋势EMA交叉,1h,200,2,25,571,165,28.896672504378284,5.710988576525867,1.9346730233739458,100.0,1409.2819614711034,3920.8966909236565
EMA50/200黄金交叉,4h,150,3,25,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,50.0,1405.6451612903224,2541.2023975462394
突破买入,1h,200,3,20,674,242,35.90504451038576,5.563037141106371,2.71763584609914,66.66666666666667,1397.7448071216618,3444.7260526582604
EMA50/200黄金交叉,1h,200,5,15,145,69,47.58620689655172,4.964917052098005,3.9231923777452193,40.0,1388.2758620689654,666.2498382918862
放量突破,1h,150,3,25,505,192,38.01980198019802,5.250383622903806,2.79732437268442,50.0,1379.2574257425742,3312.7781736826855
RSI超卖,1h,150,3,30,573,182,31.762652705061083,5.696117515225116,2.844551400511498,50.0,1367.9057591623039,-2265.7862948707384
看涨插针,1h,200,3,20,703,247,35.13513513513514,5.430006723035712,2.7945971910981684,66.66666666666667,1366.4864864864865,1337.5068289811293
EMA7/25金叉,1h,200,2,25,686,192,27.988338192419825,5.886276420309713,1.9518614038072095,100.0,1363.411078717201,4148.638480467579
RSI超卖,1h,200,2,30,704,165,23.4375,5.716890501007958,1.9651723791361826,100.0,1360.3125,-3478.2293906426758
趋势EMA交叉,1h,150,3,25,480,179,37.291666666666664,5.200964068594269,2.7201874221658993,50.0,1351.4062499999998,2804.903855160956
放量突破,1h,200,5,15,439,203,46.24145785876993,4.966932391282194,3.8860528380090065,40.0,1346.9248291571753,1367.682084902397
EMA7/25金叉,4h,200,3,30,174,41,23.563218390804597,15.895032502561449,2.980875838553391,66.66666666666667,1345.0,7657.195382322554
趋势EMA交叉,1h,200,5,15,417,192,46.043165467625904,5.242733758790978,3.7553872593353956,40.0,1340.8273381294964,2424.6412250610565
EMA50/200黄金交叉,1h,150,2,25,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,75.0,1338.461538461538,3022.843983797098
放量突破,4h,200,3,25,116,32,27.586206896551722,15.712322801053569,2.974094970420479,66.66666666666667,1324.9999999999998,6324.258802959849
放量突破,1d,200,2,15,9,4,44.44444444444444,79.30920916989248,2.000000000000005,100.0,1316.6666666666665,4608.552550193548
EMA7/25金叉,1h,150,3,25,571,207,36.25218914185639,5.418420147876413,2.740559193567844,50.0,1311.646234676007,3101.23560379306
放量突破,1d,150,2,20,9,4,44.44444444444444,66.80920916989248,2.000000000000005,75.0,1311.1111111111109,5144.736733591398
EMA50/200黄金交叉,4h,200,2,30,31,7,22.58064516129032,14.637636299660256,2.000000000000003,100.0,1308.3870967741934,1633.9036229286514
放量突破,1d,200,3,15,9,4,44.44444444444444,79.30920916989248,3.0000000000000027,66.66666666666667,1308.3333333333333,4533.552550193548
趋势EMA交叉,1d,150,3,30,23,7,30.434782608695656,53.59722417849773,3.0000000000000044,50.0,1306.9565217391305,9815.417077484522
EMA7/25金叉,1h,200,5,15,474,213,44.936708860759495,5.316209812814482,3.7584512605450207,40.0,1306.8037974683546,2270.9536669085137
放量突破,1d,100,2,30,9,4,44.44444444444444,54.30920916989248,2.000000000000005,50.0,1300.0,6217.105100387096
放量突破,1d,150,3,20,9,4,44.44444444444444,66.80920916989248,3.0000000000000027,50.0,1299.9999999999998,5044.736733591398
突破买入,1h,150,3,25,674,242,35.90504451038576,5.563037141106371,2.71763584609914,50.0,1298.3679525222553,4305.907565822825
放量突破,1h,200,2,25,592,158,26.68918918918919,5.368617395859407,1.9588564794472447,100.0,1297.804054054054,-47.55408835794661
突破买入,4h,200,3,30,229,52,22.707423580786028,15.236475486564416,2.986173399388042,66.66666666666667,1292.882096069869,7912.321008289984
放量突破,1d,200,5,15,9,4,44.44444444444444,79.30920916989248,5.000000000000004,40.0,1291.6666666666665,4383.552550193549
放量突破,1d,100,3,30,9,4,44.44444444444444,54.30920916989248,3.0000000000000027,33.333333333333336,1283.3333333333333,6067.105100387096
突破买入,1h,200,5,15,561,247,44.02852049910874,5.5031763280034465,3.715975249981834,40.0,1278.8770053475937,2887.0248678383327
突破买入,1h,200,2,25,831,218,26.233453670276774,6.116471737654331,1.9395129550441723,100.0,1274.789410348977,3611.734934164163
看涨插针,1h,150,3,25,703,247,35.13513513513514,5.430006723035712,2.7945971910981684,50.0,1268.918918918919,1671.8835362264117
看涨插针,1h,200,2,25,858,224,26.107226107226104,6.005519455162066,1.9593387807180902,100.0,1268.4149184149185,2575.389274525838
EMA50/200黄金交叉,1h,200,3,15,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,66.66666666666667,1265.7615894039734,1631.6142064180049
趋势EMA交叉,4h,200,3,25,148,39,26.351351351351347,15.155561364116926,3.0000000000000036,66.66666666666667,1262.3310810810808,6601.672330013993
趋势EMA交叉,1h,150,2,30,571,165,28.896672504378284,5.710988576525867,1.9346730233739458,75.0,1257.6882661996497,4705.076029108388
趋势EMA交叉,1d,200,2,30,23,5,21.73913043478261,64.62306488247118,2.0000000000000018,100.0,1257.391304347826,8613.459732370675
EMA50/200黄金交叉,1h,150,3,20,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,50.0,1257.2185430463576,2175.4856085573397
看涨插针,1h,200,5,15,567,245,43.20987654320987,5.578262046844789,3.837472483974583,40.0,1253.7037037037035,1965.1209245573593
EMA50/200黄金交叉,1h,100,3,30,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,33.333333333333336,1240.1324503311257,3263.2284128360097
放量突破,4h,200,2,30,131,28,21.374045801526716,15.994410330544442,2.000000000000002,100.0,1235.267175572519,7255.3046776573265
RSI超卖,1h,200,3,20,573,182,31.762652705061083,5.696117515225116,2.844551400511498,66.66666666666667,1229.56369982548,-1510.5241965804921
看涨插针,4h,200,3,30,240,52,21.666666666666668,14.1527134624742,2.9569167018995,66.66666666666667,1229.5,5401.222802746577
EMA7/25金叉,1h,150,2,30,686,192,27.988338192419825,5.886276420309713,1.9518614038072095,75.0,1216.268221574344,4978.366176561095
EMA50/200黄金交叉,4h,150,5,15,31,17,54.83870967741935,13.09216689943906,5.000000000000004,30.0,1200.0,2288.5025593569603
EMA7/25金叉,1d,200,2,30,29,6,20.689655172413794,60.51872464458819,2.0000000000000013,100.0,1193.793103448276,9513.370436025873
EMA7/25金叉,1d,200,3,25,28,7,25.0,58.434117511538865,3.0000000000000036,66.66666666666667,1193.75,8650.970564519299
放量突破,4h,150,3,30,116,32,27.586206896551722,15.712322801053569,2.974094970420479,50.0,1176.2068965517242,7589.11056355182
趋势EMA交叉,1d,200,3,20,23,7,30.434782608695656,53.59722417849773,3.0000000000000044,66.66666666666667,1175.6521739130437,6543.611384989681
突破买入,1d,200,3,30,29,6,20.689655172413794,51.23510893562037,3.0000000000000044,66.66666666666667,1170.0,7152.319608411664
RSI超卖,1h,200,5,15,450,182,40.44444444444444,5.776925562450402,4.055101861953256,40.0,1168.6666666666665,-530.5026995624836
放量突破,1h,150,2,30,592,158,26.68918918918919,5.368617395859407,1.9588564794472447,75.0,1157.027027027027,-57.06490602953593
突破买入,1d,200,2,30,30,6,20.0,51.23510893562037,2.0000000000000013,100.0,1152.0,7782.319608411666
