timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2019-09-02,10000.0,10412.65,10000.0,10391.63,3096.291,1567987199999,32096280.44997,3754,0.039,393.35627,0
2019-09-09,10316.62,10475.54,9884.31,10302.22,110846.484,1568591999999,1137433786.19858,140853,56359.989,577683136.47159,0
2019-09-16,10302.0,10353.81,9530.02,10023.04,160591.544,1569196799999,1623793990.17112,233167,71504.827,724094879.33591,0
2019-09-23,8061.98,10046.91,7700.67,8041.96,279795.272,1569801599999,2381853266.98139,512952,142526.02999999997,1210814475.95072,0
2019-09-30,8042.08,8499.0,7709.01,7852.79,257976.889,1570406399999,2096919861.64925,592486,120929.731,982896241.41594,0
2019-10-07,7851.01,8788.0,7764.42,8274.66,367955.166,1571011199999,3060695890.24249,662256,170408.031,1417759276.63311,0
2019-10-14,8274.33,8408.62,7812.0,8218.23,508975.286,1571615999999,4112166660.38064,682480,257908.502,2082777361.24802,0
2019-10-21,8218.23,10408.48,7172.76,9533.32,881463.175,1572220799999,7611110161.83009,1665985,436997.797,3775512636.34235,0
2019-10-28,9534.37,9930.13,8933.0,9197.88,697075.617,1572825599999,6475968907.10838,1660927,343081.683,3187938437.52324,0
2019-11-04,9197.86,9550.0,8669.85,9041.31,665125.812,1573430399999,6065260689.72447,1641652,327838.620,2990080094.61898,0
2019-11-11,9041.31,9072.91,8355.78,8504.04,632991.917,1574035199999,5477403362.64472,1737803,310880.213,2690354586.97929,0
2019-11-18,8504.13,8504.71,6762.73,6900.86,1196506.081,1574639999999,9036318235.87462,3193495,583231.997,4403298961.03854,0
2019-11-25,6899.77,7850.0,6510.19,7387.38,1524870.441,1575244799999,11121393203.03915,4023316,757768.014,5526771664.50809,0
2019-12-02,7388.0,7800.0,7070.0,7508.2,983668.839,1575849599999,7236505932.52516,2452730,491851.696,3619326094.14308,0
2019-12-09,7507.87,7676.48,7004.77,7115.0,766967.38,1576454399999,5552510758.78743,1777669,377667.845,2734471177.61960,0
2019-12-16,7115.45,7517.61,6427.0,7502.92,1031936.164,1577059199999,7204458096.39557,2154923,516069.872,3604864842.77031,0
2019-12-23,7502.92,7691.0,7078.89,7383.67,901439.862,1577663999999,6607150848.22372,1686644,444800.793,3260617772.81293,0
2019-12-30,7383.68,7495.0,6863.44,7354.36,774521.268,1578268799999,5618738819.00489,1493631,384138.418,2787113676.91295,0
2020-01-06,7354.36,8468.42,7345.0,8186.7,1484603.363,1578873599999,11862697985.79407,3003452,740698.969,5918215531.00936,0
2020-01-13,8186.22,9205.3,8053.78,8705.85,1316693.038,1579478399999,11486210677.76207,2623208,654350.163,5708428900.47809,0
