timestamp,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply
2025-11-09 08:00:00,BTCUSDT,84367.538,8596900260.6316,19946187.00000000
2025-11-09 09:00:00,BTCUSDT,84376.858,8601233463.8614,19946187.00000000
2025-11-09 10:00:00,BTCUSDT,84363.826,8571863273.90868,19946187.00000000
2025-11-09 11:00:00,BTCUSDT,84373.917,8591957679.281664,19946187.00000000
2025-11-09 12:00:00,BTCUSDT,84472.749,8632954449.5769,19946187.00000000
2025-11-09 13:00:00,BTCUSDT,84487.911,8621041464.659887,19946187.00000000
2025-11-09 14:00:00,BTCUSDT,85236.341,8770580827.1452,19946187.00000000
2025-11-09 15:00:00,BTCUSDT,85721.629,8828822029.3889,19946187.00000000
2025-11-09 16:00:00,BTCUSDT,85816.117,8900663919.202219,19946187.00000000
2025-11-09 17:00:00,BTCUSDT,85752.543,8902391676.2907,19946187.00000000
2025-11-09 18:00:00,BTCUSDT,85766.742,8886051991.7424,19946187.00000000
2025-11-09 19:00:00,BTCUSDT,85480.28,8932061124.886637,19946187.00000000
2025-11-09 20:00:00,BTCUSDT,85803.88,8989689668.376,19946187.00000000
2025-11-09 21:00:00,BTCUSDT,85656.356,8958958835.017153,19946187.00000000
2025-11-09 22:00:00,BTCUSDT,85477.086,8931269058.990475,19946187.00000000
2025-11-09 23:00:00,BTCUSDT,85404.758,8939256236.5294,19946187.00000000
2025-11-10 00:00:00,BTCUSDT,85498.204,8949148311.6024,19946187.00000000
2025-11-10 01:00:00,BTCUSDT,85740.867,9111510454.356,19946187.00000000
2025-11-10 02:00:00,BTCUSDT,86374.254,9128298922.9074,19946187.00000000
2025-11-10 03:00:00,BTCUSDT,86526.155,9168830540.73,19946503.00000000
2025-11-10 04:00:00,BTCUSDT,86952.236,9216519645.2672,19946503.00000000
2025-11-10 05:00:00,BTCUSDT,86962.751,9228130588.8409,19946503.00000000
2025-11-10 06:00:00,BTCUSDT,86880.288,9211791043.955015,19946503.00000000
2025-11-10 07:00:00,BTCUSDT,87090.328,9246084723.464676,19946503.00000000
2025-11-10 08:00:00,BTCUSDT,87165.526,9276300403.099754,19946503.00000000
2025-11-10 09:00:00,BTCUSDT,87508.48,9269878296.576,19946503.00000000
2025-11-10 10:00:00,BTCUSDT,87593.1,9320072266.89,19946503.00000000
2025-11-10 11:00:00,BTCUSDT,87517.644,9272543314.309792,19946503.00000000
2025-11-10 12:00:00,BTCUSDT,87501.715,9287252148.132633,19946503.00000000
2025-11-10 13:00:00,BTCUSDT,87062.395,9220120742.839535,19946503.00000000
2025-11-10 14:00:00,BTCUSDT,87368.634,9305799660.415472,19946503.00000000
2025-11-10 15:00:00,BTCUSDT,86359.911,9055832930.050793,19946503.00000000
2025-11-10 16:00:00,BTCUSDT,86808.749,9116272861.4844,19946503.00000000
2025-11-10 17:00:00,BTCUSDT,87004.542,9152438815.54716,19946503.00000000
2025-11-10 18:00:00,BTCUSDT,86994.507,9213434329.218452,19946503.00000000
2025-11-10 19:00:00,BTCUSDT,87112.947,9184831968.5973,19946503.00000000
2025-11-10 20:00:00,BTCUSDT,87038.016,9205758542.0736,19946503.00000000
2025-11-10 21:00:00,BTCUSDT,86914.849,9209744784.893393,19946503.00000000
2025-11-10 22:00:00,BTCUSDT,86649.014,9147900333.8388,19946503.00000000
2025-11-10 23:00:00,BTCUSDT,86637.627,9183917684.9826,19946503.00000000
2025-11-11 00:00:00,BTCUSDT,86847.449,9202894150.2238,19946503.00000000
2025-11-11 01:00:00,BTCUSDT,86717.585,9200828205.047295,19946503.00000000
2025-11-11 02:00:00,BTCUSDT,86228.557,9142322395.9351,19946503.00000000
2025-11-11 03:00:00,BTCUSDT,85783.377,9144517321.482887,19946887.00000000
2025-11-11 04:00:00,BTCUSDT,85874.771,9137711107.7054,19946887.00000000
2025-11-11 05:00:00,BTCUSDT,85415.457,9029182544.013,19946887.00000000
2025-11-11 06:00:00,BTCUSDT,85094.331,8952221451.3585,19946887.00000000
2025-11-11 07:00:00,BTCUSDT,84080.063,8845716611.374168,19946887.00000000
2025-11-11 08:00:00,BTCUSDT,83991.672,8797035750.264,19946887.00000000
2025-11-11 09:00:00,BTCUSDT,84092.231,8838984855.7486,19946887.00000000
2025-11-11 10:00:00,BTCUSDT,84085.05,8822569850.261393,19946887.00000000
2025-11-11 11:00:00,BTCUSDT,84140.355,8844876187.7775,19946887.00000000
2025-11-11 12:00:00,BTCUSDT,84302.595,8874112662.675,19946887.00000000
2025-11-11 13:00:00,BTCUSDT,84326.341,8812094201.8659,19946887.00000000
2025-11-11 14:00:00,BTCUSDT,85132.617,8883214000.4352,19946887.00000000
2025-11-11 15:00:00,BTCUSDT,84618.462,8844330110.0862,19946887.00000000
2025-11-11 16:00:00,BTCUSDT,85554.591,8849040444.66849,19946887.00000000
2025-11-11 17:00:00,BTCUSDT,85601.391,8848307622.6624,19946887.00000000
2025-11-11 18:00:00,BTCUSDT,85818.051,8864549872.429537,19946887.00000000
2025-11-11 19:00:00,BTCUSDT,85710.423,8858084780.61793,19946887.00000000
2025-11-11 20:00:00,BTCUSDT,85870.69,8851716144.505875,19946887.00000000
2025-11-11 21:00:00,BTCUSDT,86061.631,8844760365.7844,19946887.00000000
2025-11-11 22:00:00,BTCUSDT,85798.767,8803236630.1311,19946887.00000000
2025-11-11 23:00:00,BTCUSDT,85639.037,8816277794.75111,19946887.00000000
2025-11-12 00:00:00,BTCUSDT,85642.465,8821820136.904993,19946887.00000000
2025-11-12 01:00:00,BTCUSDT,85501.854,8793010665.36,19946887.00000000
2025-11-12 02:00:00,BTCUSDT,85537.92,8827708467.152231,19947556.00000000
2025-11-12 03:00:00,BTCUSDT,85311.601,8795602342.147917,19947556.00000000
2025-11-12 04:00:00,BTCUSDT,85264.902,8805130993.296818,19947556.00000000
2025-11-12 05:00:00,BTCUSDT,85268.295,8799688044.0,19947556.00000000
2025-11-12 06:00:00,BTCUSDT,85221.648,8807657320.8,19947556.00000000
2025-11-12 07:00:00,BTCUSDT,85216.246,8803572024.33208,19947556.00000000
2025-11-12 08:00:00,BTCUSDT,85226.637,8784311900.22646,19947556.00000000
2025-11-12 09:00:00,BTCUSDT,85196.769,8869375136.374735,19947556.00000000
